"","Timestamp","How old are you?","Please indicate your sex","Which province or territory do you live in?","What is your highest education level?","Have you been following the election?","How much do you value the alignment between you and the candidate's policies?","How's your satisfaction with the current Canadian government?","How would you rate the current government's response on combating COVID-19?","In your opinion, what is the most important issue facing in Canada today?","If the Federal Election were being held today, who would you vote for?"
"1059",2020-10-07 16:00:05,"55-64","Male","Ontario","No certificate, diploma or degree","Yes",10,"Somewhat Dissatisfied",2,"Health Care","Justin Trudeau's Liberal Party of Canada"
"1060",2020-10-07 16:00:11,"45-54","Female","Quebec","Secondary (high) school diploma or equivalency certificate","Yes",9,"Somewhat Dissatisfied",5,"Foreign Affairs","Justin Trudeau's Liberal Party of Canada"
"1061",2020-10-07 16:00:07,"65+","Female","British Columbia","University certificate, diploma or degree at bachelor level or above","Yes",9,"Somewhat Satisfied",6,"Housing/Homelessness/Proverty","Erin O’Toole's Conservative Party of Canada"
"1062",2020-10-07 16:00:15,"25-34","Female","Alberta","University certificate, diploma or degree at bachelor level or above","Yes",9,"Somewhat Satisfied",5,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"1063",2020-10-07 16:00:03,"25-34","Male","Ontario","Secondary (high) school diploma or equivalency certificate","Yes",9,"Somewhat Satisfied",5,"The Economy/Jobs","Annamie Paul's Green Party of Canada"
"1064",2020-10-07 16:00:13,"25-34","Female","New Brunswick","University certificate, diploma or degree at bachelor level or above","Yes",9,"Somewhat Dissatisfied",8,"Energy/Piplines","Erin O’Toole's Conservative Party of Canada"
"1065",2020-10-07 16:00:19,"45-54","Female","Ontario","No certificate, diploma or degree","Yes",8,"Somewhat Dissatisfied",5,"Foreign Affairs","Justin Trudeau's Liberal Party of Canada"
"1066",2020-10-07 16:00:03,"35-44","Female","Quebec","Apprenticeship or trades certificate or diploma","No",7,"Very Dissatisfied",7,"The Economy/Jobs","Erin O’Toole's Conservative Party of Canada"
"1067",2020-10-07 16:00:02,"55-64","Male","Ontario","University certificate, diploma or degree at bachelor level or above","No",10,"Somewhat Satisfied",7,"Housing/Homelessness/Proverty","Justin Trudeau's Liberal Party of Canada"
"1068",2020-10-07 16:00:19,"55-64","Male","Newfoundland and Labrador","College, CEGEP or other non-university certificate or diploma","Yes",9,"Somewhat Satisfied",7,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"1069",2020-10-07 16:00:13,"55-64","Female","Quebec","Secondary (high) school diploma or equivalency certificate","Yes",4,"Somewhat Satisfied",7,"Health Care","Justin Trudeau's Liberal Party of Canada"
"1070",2020-10-07 16:00:14,"65+","Female","Nova Scotia","University certificate, diploma or degree at bachelor level or above","Yes",5,"Somewhat Dissatisfied",8,"Health Care","Erin O’Toole's Conservative Party of Canada"
"1071",2020-10-07 16:00:11,"45-54","Male","Quebec","University certificate, diploma or degree at bachelor level or above","Yes",4,"Somewhat Satisfied",10,"Housing/Homelessness/Proverty","Erin O’Toole's Conservative Party of Canada"
"1072",2020-10-07 16:00:19,"55-64","Male","Ontario","University certificate or diploma below bachelor level","Yes",10,"Somewhat Satisfied",6,"The Economy/Jobs","Erin O’Toole's Conservative Party of Canada"
"1073",2020-10-07 16:00:10,"35-44","Male","Quebec","Apprenticeship or trades certificate or diploma","Yes",9,"No Opinion",6,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"1074",2020-10-07 16:00:12,"55-64","Female","Quebec","Secondary (high) school diploma or equivalency certificate","No",10,"Very Dissatisfied",8,"Health Care","Others"
"1075",2020-10-07 16:00:13,"18-24","Female","Saskatchewan","College, CEGEP or other non-university certificate or diploma","No",10,"Somewhat Satisfied",5,"Housing/Homelessness/Proverty","Jagmeet Singh's New Democratic Party of Canada"
"1076",2020-10-07 16:00:08,"18-24","Male","Ontario","Secondary (high) school diploma or equivalency certificate","Yes",9,"Somewhat Dissatisfied",7,"Health Care","Annamie Paul's Green Party of Canada"
"1077",2020-10-07 16:00:06,"18-24","Male","Quebec","Apprenticeship or trades certificate or diploma","Yes",10,"Somewhat Satisfied",9,"Environment","Erin O’Toole's Conservative Party of Canada"
"1078",2020-10-07 16:00:15,"45-54","Female","Alberta","University certificate, diploma or degree at bachelor level or above","Yes",9,"Somewhat Satisfied",8,"Accountability/Leadership","Justin Trudeau's Liberal Party of Canada"
"1079",2020-10-07 16:00:12,"55-64","Male","Quebec","University certificate, diploma or degree at bachelor level or above","Yes",3,"Somewhat Satisfied",9,"The Economy/Jobs","Erin O’Toole's Conservative Party of Canada"
"1080",2020-10-07 16:00:13,"55-64","Female","Quebec","University certificate, diploma or degree at bachelor level or above","No",9,"Very Dissatisfied",8,"Health Care","Justin Trudeau's Liberal Party of Canada"
"1081",2020-10-07 16:00:18,"25-34","Female","Ontario","University certificate or diploma below bachelor level","Yes",5,"Somewhat Dissatisfied",5,"The Economy/Jobs","Jagmeet Singh's New Democratic Party of Canada"
"1082",2020-10-07 16:00:07,"35-44","Female","Alberta","University certificate, diploma or degree at bachelor level or above","Yes",6,"Somewhat Dissatisfied",8,"Housing/Homelessness/Proverty","Erin O’Toole's Conservative Party of Canada"
"1083",2020-10-07 16:00:07,"35-44","Female","Alberta","University certificate, diploma or degree at bachelor level or above","No",10,"Somewhat Dissatisfied",6,"The Economy/Jobs","Yves-Francois Blanchet's Bloc Québécois"
"1084",2020-10-07 16:00:19,"18-24","Female","Quebec","Secondary (high) school diploma or equivalency certificate","Yes",9,"Very Satisfied",4,"Health Care","Justin Trudeau's Liberal Party of Canada"
"1085",2020-10-07 16:00:17,"35-44","Female","Ontario","No certificate, diploma or degree","Yes",9,"Somewhat Satisfied",8,"Environment","Jagmeet Singh's New Democratic Party of Canada"
"1086",2020-10-07 16:00:03,"25-34","Female","Manitoba","Apprenticeship or trades certificate or diploma","Yes",10,"Somewhat Satisfied",8,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"1087",2020-10-07 16:00:06,"55-64","Male","Quebec","Secondary (high) school diploma or equivalency certificate","Yes",8,"Somewhat Satisfied",8,"Health Care","Jagmeet Singh's New Democratic Party of Canada"
"1088",2020-10-07 16:00:07,"25-34","Male","Ontario","University certificate, diploma or degree at bachelor level or above","Yes",10,"No Opinion",7,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"1089",2020-10-07 16:00:08,"18-24","Female","Ontario","University certificate, diploma or degree at bachelor level or above","Yes",9,"Somewhat Dissatisfied",8,"Energy/Piplines","Justin Trudeau's Liberal Party of Canada"
"1090",2020-10-07 16:00:15,"65+","Male","Saskatchewan","Secondary (high) school diploma or equivalency certificate","Yes",10,"Very Dissatisfied",6,"Health Care","Erin O’Toole's Conservative Party of Canada"
"1091",2020-10-07 16:00:10,"25-34","Female","Alberta","Apprenticeship or trades certificate or diploma","No",8,"Somewhat Satisfied",4,"The Economy/Jobs","Yves-Francois Blanchet's Bloc Québécois"
"1092",2020-10-07 16:00:07,"65+","Female","Quebec","College, CEGEP or other non-university certificate or diploma","No",10,"Somewhat Satisfied",9,"Housing/Homelessness/Proverty","Erin O’Toole's Conservative Party of Canada"
"1093",2020-10-07 16:00:06,"25-34","Female","Quebec","Secondary (high) school diploma or equivalency certificate","Yes",6,"Somewhat Dissatisfied",7,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"1094",2020-10-07 16:00:16,"25-34","Female","British Columbia","Secondary (high) school diploma or equivalency certificate","Yes",6,"Somewhat Dissatisfied",9,"Health Care","Justin Trudeau's Liberal Party of Canada"
"1095",2020-10-07 16:00:07,"45-54","Male","Newfoundland and Labrador","University certificate, diploma or degree at bachelor level or above","No",10,"Somewhat Satisfied",6,"The Economy/Jobs","Jagmeet Singh's New Democratic Party of Canada"
"1096",2020-10-07 16:00:10,"35-44","Female","Ontario","Secondary (high) school diploma or equivalency certificate","No",10,"Somewhat Satisfied",4,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"1097",2020-10-07 16:00:12,"35-44","Male","Ontario","Secondary (high) school diploma or equivalency certificate","Yes",9,"Somewhat Satisfied",7,"The Economy/Jobs","Erin O’Toole's Conservative Party of Canada"
"1098",2020-10-07 16:00:01,"25-34","Male","Ontario","No certificate, diploma or degree","Yes",10,"Somewhat Satisfied",7,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"1099",2020-10-07 16:00:00,"55-64","Male","Manitoba","University certificate, diploma or degree at bachelor level or above","Yes",10,"Somewhat Dissatisfied",4,"The Economy/Jobs","Annamie Paul's Green Party of Canada"
"1100",2020-10-07 16:00:09,"45-54","Female","Ontario","University certificate, diploma or degree at bachelor level or above","Yes",9,"Somewhat Satisfied",8,"The Economy/Jobs","Jagmeet Singh's New Democratic Party of Canada"
"1101",2020-10-07 16:00:19,"55-64","Female","Ontario","College, CEGEP or other non-university certificate or diploma","No",10,"Very Dissatisfied",10,"Accountability/Leadership","Jagmeet Singh's New Democratic Party of Canada"
"1102",2020-10-07 16:00:03,"25-34","Male","Ontario","No certificate, diploma or degree","No",9,"Somewhat Dissatisfied",7,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"1103",2020-10-07 16:00:08,"65+","Male","Ontario","Apprenticeship or trades certificate or diploma","No",10,"Somewhat Satisfied",6,"Health Care","Erin O’Toole's Conservative Party of Canada"
"1104",2020-10-07 16:00:16,"18-24","Female","British Columbia","Secondary (high) school diploma or equivalency certificate","Yes",9,"Somewhat Dissatisfied",6,"The Economy/Jobs","Erin O’Toole's Conservative Party of Canada"
"1105",2020-10-07 16:00:12,"45-54","Male","Ontario","University certificate, diploma or degree at bachelor level or above","Yes",10,"Somewhat Satisfied",7,"Health Care","Erin O’Toole's Conservative Party of Canada"
"1106",2020-10-07 16:00:16,"25-34","Female","British Columbia","University certificate, diploma or degree at bachelor level or above","Yes",8,"Somewhat Dissatisfied",7,"Health Care","Justin Trudeau's Liberal Party of Canada"
"1107",2020-10-07 16:00:13,"65+","Male","Ontario","University certificate, diploma or degree at bachelor level or above","Yes",8,"Very Satisfied",5,"Health Care","Yves-Francois Blanchet's Bloc Québécois"
"1108",2020-10-07 16:00:16,"25-34","Female","Ontario","University certificate, diploma or degree at bachelor level or above","Yes",10,"Somewhat Dissatisfied",6,"Foreign Affairs","Justin Trudeau's Liberal Party of Canada"
"1109",2020-10-07 16:00:15,"25-34","Male","Ontario","College, CEGEP or other non-university certificate or diploma","Yes",10,"Somewhat Satisfied",7,"Health Care","Justin Trudeau's Liberal Party of Canada"
"1110",2020-10-07 16:00:00,"55-64","Female","Quebec","Apprenticeship or trades certificate or diploma","Yes",9,"Very Satisfied",8,"The Economy/Jobs","Jagmeet Singh's New Democratic Party of Canada"
"1111",2020-10-07 16:00:01,"35-44","Female","British Columbia","College, CEGEP or other non-university certificate or diploma","No",10,"Somewhat Satisfied",9,"Health Care","Annamie Paul's Green Party of Canada"
"1112",2020-10-07 16:00:17,"55-64","Male","Quebec","University certificate, diploma or degree at bachelor level or above","Yes",7,"Somewhat Satisfied",7,"The Economy/Jobs","Erin O’Toole's Conservative Party of Canada"
"1113",2020-10-07 16:00:10,"25-34","Female","Ontario","Secondary (high) school diploma or equivalency certificate","Yes",9,"Somewhat Dissatisfied",9,"Crime/Public Safety","Erin O’Toole's Conservative Party of Canada"
"1114",2020-10-07 16:00:18,"25-34","Female","Quebec","College, CEGEP or other non-university certificate or diploma","No",5,"Somewhat Dissatisfied",6,"Housing/Homelessness/Proverty","Justin Trudeau's Liberal Party of Canada"
"1115",2020-10-07 16:00:14,"45-54","Female","British Columbia","University certificate, diploma or degree at bachelor level or above","Yes",6,"Very Dissatisfied",8,"Health Care","Erin O’Toole's Conservative Party of Canada"
"1116",2020-10-07 16:00:16,"18-24","Female","Ontario","No certificate, diploma or degree","Yes",10,"Somewhat Satisfied",6,"Environment","Erin O’Toole's Conservative Party of Canada"
"1117",2020-10-07 16:00:13,"18-24","Male","Ontario","College, CEGEP or other non-university certificate or diploma","Yes",10,"Somewhat Satisfied",8,"Energy/Piplines","Justin Trudeau's Liberal Party of Canada"
"1118",2020-10-07 16:00:16,"55-64","Male","Nova Scotia","University certificate, diploma or degree at bachelor level or above","Yes",9,"Somewhat Satisfied",7,"Crime/Public Safety","Annamie Paul's Green Party of Canada"
"1119",2020-10-07 16:00:10,"65+","Female","Manitoba","No certificate, diploma or degree","Yes",5,"No Opinion",5,"Health Care","Erin O’Toole's Conservative Party of Canada"
"1120",2020-10-07 16:00:04,"18-24","Male","Ontario","University certificate, diploma or degree at bachelor level or above","No",10,"Somewhat Satisfied",9,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"1121",2020-10-07 16:00:02,"55-64","Male","Ontario","University certificate, diploma or degree at bachelor level or above","Yes",10,"Somewhat Satisfied",5,"The Economy/Jobs","Erin O’Toole's Conservative Party of Canada"
"1122",2020-10-07 16:00:12,"55-64","Male","Ontario","Secondary (high) school diploma or equivalency certificate","Yes",4,"Somewhat Satisfied",8,"Housing/Homelessness/Proverty","Erin O’Toole's Conservative Party of Canada"
"1123",2020-10-07 16:00:07,"65+","Female","Quebec","University certificate, diploma or degree at bachelor level or above","Yes",8,"Somewhat Dissatisfied",8,"The Economy/Jobs","Jagmeet Singh's New Democratic Party of Canada"
"1124",2020-10-07 16:00:02,"45-54","Female","Ontario","Secondary (high) school diploma or equivalency certificate","Yes",9,"Somewhat Satisfied",8,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"1125",2020-10-07 16:00:00,"35-44","Female","Nova Scotia","College, CEGEP or other non-university certificate or diploma","Yes",7,"Somewhat Satisfied",9,"Health Care","Justin Trudeau's Liberal Party of Canada"
"1126",2020-10-07 16:00:09,"65+","Female","Manitoba","University certificate or diploma below bachelor level","No",10,"Somewhat Satisfied",8,"Energy/Piplines","Erin O’Toole's Conservative Party of Canada"
"1127",2020-10-07 16:00:09,"45-54","Female","Manitoba","University certificate, diploma or degree at bachelor level or above","Yes",10,"Somewhat Satisfied",4,"Housing/Homelessness/Proverty","Jagmeet Singh's New Democratic Party of Canada"
"1128",2020-10-07 16:00:17,"35-44","Female","Ontario","University certificate, diploma or degree at bachelor level or above","Yes",10,"Somewhat Dissatisfied",9,"Environment","Erin O’Toole's Conservative Party of Canada"
"1129",2020-10-07 16:00:13,"18-24","Male","Alberta","College, CEGEP or other non-university certificate or diploma","Yes",9,"Somewhat Satisfied",4,"Environment","Jagmeet Singh's New Democratic Party of Canada"
"1130",2020-10-07 16:00:19,"35-44","Female","Ontario","Apprenticeship or trades certificate or diploma","Yes",9,"Somewhat Dissatisfied",7,"The Economy/Jobs","Jagmeet Singh's New Democratic Party of Canada"
"1131",2020-10-07 16:00:05,"35-44","Female","Ontario","College, CEGEP or other non-university certificate or diploma","Yes",10,"Somewhat Satisfied",7,"Housing/Homelessness/Proverty","Justin Trudeau's Liberal Party of Canada"
"1132",2020-10-07 16:00:06,"25-34","Female","Quebec","Secondary (high) school diploma or equivalency certificate","Yes",10,"Somewhat Satisfied",5,"Crime/Public Safety","Jagmeet Singh's New Democratic Party of Canada"
"1133",2020-10-07 16:00:18,"35-44","Male","Saskatchewan","College, CEGEP or other non-university certificate or diploma","Yes",10,"Somewhat Dissatisfied",8,"The Economy/Jobs","Annamie Paul's Green Party of Canada"
"1134",2020-10-07 16:00:00,"55-64","Female","Ontario","University certificate, diploma or degree at bachelor level or above","Yes",9,"Somewhat Satisfied",7,"Health Care","Jagmeet Singh's New Democratic Party of Canada"
"1135",2020-10-07 16:00:04,"25-34","Female","Alberta","Secondary (high) school diploma or equivalency certificate","Yes",10,"Somewhat Satisfied",8,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"1136",2020-10-07 16:00:17,"35-44","Female","Manitoba","No certificate, diploma or degree","No",10,"Somewhat Satisfied",7,"The Economy/Jobs","Erin O’Toole's Conservative Party of Canada"
"1137",2020-10-07 16:00:09,"45-54","Female","Ontario","Secondary (high) school diploma or equivalency certificate","Yes",10,"Somewhat Dissatisfied",7,"Housing/Homelessness/Proverty","Justin Trudeau's Liberal Party of Canada"
"1138",2020-10-07 16:00:08,"55-64","Female","Alberta","Apprenticeship or trades certificate or diploma","Yes",9,"Very Dissatisfied",7,"Environment","Justin Trudeau's Liberal Party of Canada"
"1139",2020-10-07 16:00:17,"55-64","Female","Ontario","University certificate, diploma or degree at bachelor level or above","Yes",9,"Very Dissatisfied",6,"Environment","Others"
"1140",2020-10-07 16:00:12,"55-64","Female","Ontario","University certificate, diploma or degree at bachelor level or above","Yes",10,"Somewhat Satisfied",9,"The Economy/Jobs","Yves-Francois Blanchet's Bloc Québécois"
"1141",2020-10-07 16:00:10,"55-64","Female","Nova Scotia","University certificate, diploma or degree at bachelor level or above","No",9,"Somewhat Satisfied",1,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"1142",2020-10-07 16:00:18,"45-54","Male","Ontario","University certificate, diploma or degree at bachelor level or above","No",10,"Somewhat Dissatisfied",5,"The Economy/Jobs","Erin O’Toole's Conservative Party of Canada"
"1143",2020-10-07 16:00:00,"35-44","Female","Saskatchewan","Secondary (high) school diploma or equivalency certificate","Yes",9,"Somewhat Satisfied",7,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"1144",2020-10-07 16:00:06,"45-54","Male","British Columbia","University certificate, diploma or degree at bachelor level or above","Yes",9,"Somewhat Dissatisfied",5,"Accountability/Leadership","Erin O’Toole's Conservative Party of Canada"
"1145",2020-10-07 16:00:10,"65+","Male","British Columbia","No certificate, diploma or degree","No",9,"Somewhat Satisfied",6,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"1146",2020-10-07 16:00:18,"18-24","Female","Nova Scotia","Apprenticeship or trades certificate or diploma","No",6,"Somewhat Dissatisfied",9,"The Economy/Jobs","Jagmeet Singh's New Democratic Party of Canada"
"1147",2020-10-07 16:00:11,"35-44","Female","British Columbia","College, CEGEP or other non-university certificate or diploma","No",9,"Somewhat Satisfied",9,"Health Care","Erin O’Toole's Conservative Party of Canada"
"1148",2020-10-07 16:00:11,"25-34","Male","British Columbia","University certificate, diploma or degree at bachelor level or above","No",9,"Somewhat Satisfied",5,"Accountability/Leadership","Erin O’Toole's Conservative Party of Canada"
"1149",2020-10-07 16:00:06,"18-24","Female","Nova Scotia","Secondary (high) school diploma or equivalency certificate","No",8,"Somewhat Satisfied",6,"Health Care","Erin O’Toole's Conservative Party of Canada"
"1150",2020-10-07 16:00:03,"65+","Female","Alberta","University certificate, diploma or degree at bachelor level or above","No",10,"Somewhat Dissatisfied",8,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"1151",2020-10-07 16:00:11,"35-44","Female","Ontario","Secondary (high) school diploma or equivalency certificate","No",8,"Very Satisfied",7,"Housing/Homelessness/Proverty","Jagmeet Singh's New Democratic Party of Canada"
"1152",2020-10-07 16:00:01,"18-24","Female","Nova Scotia","Secondary (high) school diploma or equivalency certificate","Yes",10,"Somewhat Satisfied",9,"The Economy/Jobs","Jagmeet Singh's New Democratic Party of Canada"
"1153",2020-10-07 16:00:17,"65+","Male","Quebec","Apprenticeship or trades certificate or diploma","Yes",8,"Somewhat Satisfied",5,"Foreign Affairs","Erin O’Toole's Conservative Party of Canada"
"1154",2020-10-07 16:00:11,"25-34","Male","Ontario","University certificate, diploma or degree at bachelor level or above","Yes",8,"Somewhat Satisfied",9,"Health Care","Justin Trudeau's Liberal Party of Canada"
"1155",2020-10-07 16:00:10,"25-34","Female","Quebec","Apprenticeship or trades certificate or diploma","Yes",10,"No Opinion",8,"Housing/Homelessness/Proverty","Erin O’Toole's Conservative Party of Canada"
"1156",2020-10-07 16:00:11,"55-64","Female","British Columbia","No certificate, diploma or degree","Yes",10,"Somewhat Dissatisfied",5,"Crime/Public Safety","Justin Trudeau's Liberal Party of Canada"
"1157",2020-10-07 16:00:03,"35-44","Male","British Columbia","College, CEGEP or other non-university certificate or diploma","Yes",10,"Somewhat Satisfied",9,"Energy/Piplines","Erin O’Toole's Conservative Party of Canada"
"1158",2020-10-07 16:00:03,"45-54","Female","Alberta","College, CEGEP or other non-university certificate or diploma","Yes",8,"Somewhat Dissatisfied",7,"Accountability/Leadership","Erin O’Toole's Conservative Party of Canada"
"1159",2020-10-07 16:00:18,"45-54","Female","Ontario","Secondary (high) school diploma or equivalency certificate","No",9,"Somewhat Dissatisfied",8,"The Economy/Jobs","Erin O’Toole's Conservative Party of Canada"
"1160",2020-10-07 16:00:11,"18-24","Male","Ontario","Secondary (high) school diploma or equivalency certificate","Yes",9,"Somewhat Satisfied",9,"Health Care","Justin Trudeau's Liberal Party of Canada"
"1161",2020-10-07 16:00:19,"18-24","Male","British Columbia","Apprenticeship or trades certificate or diploma","Yes",7,"Somewhat Satisfied",9,"Accountability/Leadership","Erin O’Toole's Conservative Party of Canada"
"1162",2020-10-07 16:00:14,"55-64","Male","British Columbia","Secondary (high) school diploma or equivalency certificate","Yes",10,"Very Dissatisfied",8,"Foreign Affairs","Justin Trudeau's Liberal Party of Canada"
"1163",2020-10-07 16:00:16,"65+","Male","Quebec","Secondary (high) school diploma or equivalency certificate","Yes",8,"Somewhat Satisfied",6,"Environment","Jagmeet Singh's New Democratic Party of Canada"
"1164",2020-10-07 16:00:09,"45-54","Male","British Columbia","Apprenticeship or trades certificate or diploma","Yes",6,"Somewhat Dissatisfied",10,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"1165",2020-10-07 16:00:14,"65+","Female","Ontario","College, CEGEP or other non-university certificate or diploma","Yes",9,"Somewhat Satisfied",7,"Energy/Piplines","Erin O’Toole's Conservative Party of Canada"
"1166",2020-10-07 16:00:09,"35-44","Male","Quebec","University certificate, diploma or degree at bachelor level or above","Yes",10,"Somewhat Satisfied",7,"Accountability/Leadership","Justin Trudeau's Liberal Party of Canada"
"1167",2020-10-07 16:00:08,"25-34","Female","New Brunswick","University certificate, diploma or degree at bachelor level or above","No",10,"Somewhat Satisfied",7,"Accountability/Leadership","Jagmeet Singh's New Democratic Party of Canada"
"1168",2020-10-07 16:00:11,"45-54","Male","Quebec","Apprenticeship or trades certificate or diploma","Yes",9,"Very Dissatisfied",5,"Health Care","Jagmeet Singh's New Democratic Party of Canada"
"1169",2020-10-07 16:00:02,"45-54","Male","Ontario","University certificate, diploma or degree at bachelor level or above","No",9,"Somewhat Satisfied",4,"Housing/Homelessness/Proverty","Erin O’Toole's Conservative Party of Canada"
"1170",2020-10-07 16:00:17,"45-54","Male","Quebec","No certificate, diploma or degree","Yes",8,"No Opinion",6,"Foreign Affairs","Erin O’Toole's Conservative Party of Canada"
"1171",2020-10-07 16:00:11,"55-64","Male","Quebec","University certificate, diploma or degree at bachelor level or above","No",7,"Somewhat Dissatisfied",6,"The Economy/Jobs","Jagmeet Singh's New Democratic Party of Canada"
"1172",2020-10-07 16:00:01,"55-64","Male","Newfoundland and Labrador","Secondary (high) school diploma or equivalency certificate","Yes",8,"Very Satisfied",7,"Health Care","Justin Trudeau's Liberal Party of Canada"
"1173",2020-10-07 16:00:02,"55-64","Male","Ontario","No certificate, diploma or degree","Yes",10,"Somewhat Satisfied",8,"Housing/Homelessness/Proverty","Jagmeet Singh's New Democratic Party of Canada"
"1174",2020-10-07 16:00:11,"18-24","Male","Quebec","College, CEGEP or other non-university certificate or diploma","Yes",6,"Somewhat Satisfied",7,"Housing/Homelessness/Proverty","Jagmeet Singh's New Democratic Party of Canada"
"1175",2020-10-07 16:00:14,"55-64","Female","Ontario","College, CEGEP or other non-university certificate or diploma","Yes",9,"Somewhat Satisfied",7,"Energy/Piplines","Justin Trudeau's Liberal Party of Canada"
"1176",2020-10-07 16:00:12,"18-24","Female","Ontario","College, CEGEP or other non-university certificate or diploma","No",10,"Very Dissatisfied",6,"Health Care","Jagmeet Singh's New Democratic Party of Canada"
"1177",2020-10-07 16:00:16,"55-64","Female","Manitoba","University certificate, diploma or degree at bachelor level or above","Yes",8,"Somewhat Dissatisfied",8,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"1178",2020-10-07 16:00:13,"25-34","Female","Ontario","Secondary (high) school diploma or equivalency certificate","Yes",7,"Somewhat Dissatisfied",4,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"1179",2020-10-07 16:00:16,"35-44","Female","Nova Scotia","University certificate, diploma or degree at bachelor level or above","No",10,"Somewhat Dissatisfied",4,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"1180",2020-10-07 16:00:16,"45-54","Female","Ontario","College, CEGEP or other non-university certificate or diploma","Yes",9,"Somewhat Dissatisfied",6,"Housing/Homelessness/Proverty","Yves-Francois Blanchet's Bloc Québécois"
"1181",2020-10-07 16:00:14,"55-64","Female","Ontario","College, CEGEP or other non-university certificate or diploma","Yes",10,"Somewhat Satisfied",4,"Environment","Justin Trudeau's Liberal Party of Canada"
"1182",2020-10-07 16:00:08,"65+","Female","British Columbia","College, CEGEP or other non-university certificate or diploma","Yes",10,"Somewhat Satisfied",8,"Accountability/Leadership","Erin O’Toole's Conservative Party of Canada"
"1183",2020-10-07 16:00:11,"35-44","Male","British Columbia","Secondary (high) school diploma or equivalency certificate","Yes",9,"Somewhat Satisfied",9,"Health Care","Justin Trudeau's Liberal Party of Canada"
"1184",2020-10-07 16:00:17,"65+","Male","Ontario","University certificate, diploma or degree at bachelor level or above","Yes",10,"Somewhat Dissatisfied",6,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"1185",2020-10-07 16:00:14,"25-34","Male","Ontario","Secondary (high) school diploma or equivalency certificate","Yes",10,"Somewhat Satisfied",9,"The Economy/Jobs","Annamie Paul's Green Party of Canada"
"1186",2020-10-07 16:00:13,"65+","Female","British Columbia","No certificate, diploma or degree","Yes",10,"Somewhat Dissatisfied",9,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"1187",2020-10-07 16:00:18,"35-44","Male","Ontario","College, CEGEP or other non-university certificate or diploma","Yes",10,"Somewhat Dissatisfied",4,"The Economy/Jobs","Jagmeet Singh's New Democratic Party of Canada"
"1188",2020-10-07 16:00:11,"65+","Female","British Columbia","Apprenticeship or trades certificate or diploma","Yes",10,"Somewhat Satisfied",8,"The Economy/Jobs","Annamie Paul's Green Party of Canada"
"1189",2020-10-07 16:00:10,"65+","Female","Ontario","College, CEGEP or other non-university certificate or diploma","No",10,"Somewhat Satisfied",7,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"1190",2020-10-07 16:00:02,"45-54","Female","Alberta","Apprenticeship or trades certificate or diploma","No",9,"Very Dissatisfied",6,"Accountability/Leadership","Erin O’Toole's Conservative Party of Canada"
"1191",2020-10-07 16:00:19,"25-34","Female","Quebec","College, CEGEP or other non-university certificate or diploma","Yes",9,"Somewhat Satisfied",10,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"1192",2020-10-07 16:00:13,"25-34","Female","Alberta","Apprenticeship or trades certificate or diploma","Yes",9,"Somewhat Satisfied",8,"Housing/Homelessness/Proverty","Justin Trudeau's Liberal Party of Canada"
"1193",2020-10-07 16:00:08,"25-34","Female","Ontario","University certificate, diploma or degree at bachelor level or above","No",10,"Somewhat Satisfied",7,"Health Care","Annamie Paul's Green Party of Canada"
"1194",2020-10-07 16:00:01,"55-64","Female","Quebec","College, CEGEP or other non-university certificate or diploma","Yes",4,"Somewhat Satisfied",7,"Health Care","Erin O’Toole's Conservative Party of Canada"
"1195",2020-10-07 16:00:19,"65+","Male","Quebec","College, CEGEP or other non-university certificate or diploma","Yes",9,"Very Satisfied",9,"Health Care","Justin Trudeau's Liberal Party of Canada"
"1196",2020-10-07 16:00:00,"65+","Male","Ontario","Secondary (high) school diploma or equivalency certificate","No",9,"Somewhat Dissatisfied",5,"Health Care","Justin Trudeau's Liberal Party of Canada"
